Abdim's stork
ʻAkekeʻe
Andean coot
Andean duck
Andean goose
Andean guan
Andean gull
Andean swift
Andean teal
Anhinga
ʻApapane
Archer's lark
Arctic tern
Arnot's chat
Ashy thrush
Ashy tit
Asian koel
Auckland rail
Auckland shag
Auckland teal
Austral rail
Austral thrush
Aztec rail
Aztec thrush
Baer's pochard
Baikal teal
Baillon's crake
Baird's junco
Baird's sparrow
Baird's trogon
Bald eagle
Bald parrot
Banded stilt
Banded wren
Banggai crow
Bank myna
Barking owl
Barlow's lark
Barn swallow
Barred dove
Barred hawk
Barred owl
Barred rail
Bassian thrush
Bat falcon
Bateleur
Bates's swift
Baudo guan
Bay coucal
Bearded guan
Beck's petrel
Beesley's lark
Belcher's gull
Bell miner
Bell's sparrow
Bell's vireo
Bernier's teal
Bewick's wren
Biak coucal
Biak monarch
Biak scops owl
Biak scrubfowl
Biak whistler
Bicknell's thrush
†Bishop's oo
Bismarck crow
Black antbird
Black antshrike
Black baza
Black bishop
Black bittern
Black boubou
Black bulbul
Black bushbird
Black catbird
Black coucal
Black cuckoo
Black drongo
Black eagle
Black falcon
Black fantail
Black grasswren
Black harrier
Black heron
Black hornbill
Black inca
Black lory
Black magpie
†Black mamo
Black monarch
Black noddy
Black nunbird
Black partridge
Black petrel
Black redstart
Black robin
Black saw-wing
Black scoter
Black shama
Black siskin
Black skimmer
Black sunbird
Black turnstone
Black vulture
Black wheatear
Blackish rail
Blacksmith thrush
Blanford's lark
Blood pheasant
Blue bunting
Blue coua
Blue dacnis
Blue grosbeak
Blue ground dove
Blue korhaan
Blue noddy
Blue nuthatch
Blue petrel
Blue pitta
Blue quail
Blue rock thrush
Blue swallow
Blue vanga
Blue waxbill
Blyth's frogmouth
Blyth's hornbill
Blyth's pipit
Bobolink
†Bonin thrush
Boreal owl
Botha's lark
Boucard's wren
Boulder chat
Bounty shag
Bradfield's swift
Brass's friarbird
Braun's bushshrike
Bridled tern
Brown babbler
Brown barbet
Brown booby
Brown bullfinch
Brown creeper
Brown dipper
Brown falcon
Brown fantail
Brown fish owl
Brown goshawk
Brown hawk-owl
Brown inca
Brown lory
Brown mesite
Brown nightjar
Brown noddy
Brown nunlet
Brown quail
Brown rock chat
Brown songlark
Brown thornbill
Brown thrasher
Brown trembler
Brown twinspot
Brown wood owl
Brown wood rail
Brush cuckoo
Bufflehead
Buru thrush
Bush blackcap
Cabot's tern
Cackling goose
Cactus wren
Campbell shag
Campbell teal
Canvasback
Canyon wren
Cape crow
Cape teal
Carrion crow
Caspian gull
Caspian tern
Caspian tit
Cassin's finch
Cauca guan
Chaco owl
Chapman's swift
Chatham rail
Chatham shag
Chatham snipe
Cheer pheasant
Chestnut rail
Chestnut teal
Chestnut thrush
Chilean hawk
Chilean skua
Chimney swift
Chowchilla
Chuuk monarch
Cirl bunting
Citril finch
Clapper rail
Clarión wren
Cliff swallow
Cockatiel
Cocoa thrush
Cocos finch
Coleto
Common crane
Common gull
Common loon
Common murre
Common snipe
Common swift
Common tern
Cook's petrel
Cooper's hawk
Corn bunting
Couch's kingbird
Crab-plover
Crag chilia
Crane hawk
Crested duck
Crested guan
Crested jay
Crested lark
Crested owl
Crimson chat
Crimson finch
Crozet shag
Cuban crow
Cuban kite
Cuckoo-finch
Cut-throat finch
Dagua thrush
Dapple-throat
Dark batis
Dark pewee
Darwin's rhea
Desert finch
Desert lark
Desert owl
Diamond dove
Diard's trogon
Dickcissel
Dohrn's warbler
Dolphin gull
Drab swiftlet
Drab whistler
Dune lark
Dupont's lark
Dusky grouse
Dusky lark
Dusky thrush
Dusky tit
Dwarf bittern
Dwarf cuckoo
Dwarf fruit dove
Dwarf longbill
Dwarf vireo
Eared dove
Eastern phoebe
Emin's shrike
Fairy prion
Fairy tern
Fearful owl
Fea's petrel
Field sparrow
Finn's weaver
Finsch's bulbul
Finsch's wheatear
Firethroat
Flamecrest
Flappet lark
Flores crow
Flutist wren
Forest thrush
Forster's tern
Fox kestrel
Fox's weaver
Foxy lark
Franklin's gull
Freckled duck
Friedmann's lark
Fruithunter
Fuegian snipe
Fulmar prion
Fulvous owl
Fulvous wren
Garganey
Geomalia
Giant antshrike
Giant babax
Giant coua
Giant cowbird
Giant ibis
Giant kingbird
Giant nuthatch
Giant pitta
Giant scops owl
Giant sunbird
Giant swiftlet
Giant weaver
Giant wood rail
Gibberbird
Gillett's lark
Glaucous gull
Goldenface
Gough moorhen
Gouldian finch
Gould's frogmouth
Gould's petrel
Gould's shortwing
Grandala
Grant's bluebill
Gray catbird
Gray kingbird
Gray thrasher
Gray vireo
